event,date,fighter,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Jaqueline Amorim,3.41661824520628,52.1276595744681,1.81289947704823,62.8571428571429,1.56885531667635,23.0769230769231,0.0,3.66066240557815
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Jose Johnson,2.11453744493392,66.6666666666667,4.75770925110132,40.0,0.0,,50.0,0.0
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Josh Fremd,2.71586154431343,47.7911646586345,2.09965766451122,50.8021390374332,1.02700646633701,42.8571428571429,31.5789473684211,1.71167744389502
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Josh Parisian,4.35746286253242,47.8260869565217,4.79603867012497,42.0512820512821,1.06107050224004,33.3333333333333,41.6666666666667,0.0
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Juliana Miller,3.30949948927477,45.1882845188285,4.74974463738509,32.6086956521739,1.83861082737487,44.4444444444444,0.0,1.83861082737487
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Khalil Rountree Jr.,3.73241638011879,38.6783284742468,4.16380118787121,50.5567928730512,0.0,0.0,56.25,0.140668959049703
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Luana Santos,17.10407239819,60.0,6.5158371040724,68.0,0.0,,100.0,0.0
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Marcus McGhee,3.41637010676157,48.4848484848485,1.81494661921708,77.6315789473684,0.0,,100.0,1.60142348754448
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Martin Buday,5.71844307020735,50.873786407767,5.69661695161877,55.9865092748735,0.327391778828665,100.0,100.0,0.327391778828665
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Mike Breeden,6.25352112676056,48.2608695652174,8.0,36.322869955157,2.53521126760563,60.0,55.0,0.0
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Montserrat Conejo Ruiz,0.82004555808656,28.5714285714286,4.2369020501139,42.0560747663551,2.5626423690205,83.3333333333333,66.6666666666667,1.0250569476082
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Polyana Viana,3.18638824439288,41.6161616161616,2.62954369682908,55.1451187335092,0.928074245939675,33.3333333333333,43.75,2.08816705336427
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Rafael Dos Anjos,3.51606432306225,47.1428571428571,3.1905028116676,60.7809847198642,2.01256207043967,35.6020942408377,56.8493150684932,0.591930020717551
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Tafon Nchukwi,5.45959712896504,54.3568464730291,3.75086825654087,54.3918918918919,0.833526279231304,57.1428571428571,64.7058823529412,0.0
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Terrance McKinney,4.89346069066863,51.1520737327189,3.08596620132256,43.089430894309,3.30639235855988,38.4615384615385,85.7142857142857,1.32255694342395
